Insert Times,Search Times,Insert Collisions, Search Collisions
9.359e-08,3.377e-08,77,23
1.1212e-07,3.594e-08,79,26
9.735e-08,3.112e-08,73,19
9.441e-08,3.632e-08,77,25
1.0897e-07,3.575e-08,74,30
9.227e-08,3.325e-08,79,28
1.0105e-07,3.279e-08,82,22
1.1019e-07,3.703e-08,76,26
9.444e-08,3.133e-08,77,20
1.1341e-07,3.041e-08,75,23
9.396e-08,3.953e-08,82,23
1.0078e-07,3.16e-08,76,23
1.1371e-07,3.548e-08,82,27
1.0155e-07,2.932e-08,90,20
1.1125e-07,3.387e-08,80,28
1.027e-07,2.745e-08,83,14
1.0073e-07,3.449e-08,79,20
1.1429e-07,3.248e-08,86,24
1.1495e-07,3.368e-08,78,26
1.1652e-07,3.747e-08,86,27
9.967e-08,3.463e-08,79,26
1.0965e-07,3.326e-08,82,26
1.2192e-07,3.316e-08,80,21
1.1271e-07,3.289e-08,81,24
1.2595e-07,4e-08,88,25
1.0841e-07,3.643e-08,85,30
1.1066e-07,3.342e-08,82,23
1.2856e-07,3.682e-08,86,26
1.1305e-07,4.084e-08,89,32
1.1866e-07,2.737e-08,83,17
1.3223e-07,3.51e-08,92,26
1.1671e-07,3.21e-08,90,22
1.3127e-07,3.831e-08,85,28
1.1247e-07,4.562e-08,80,38
1.1168e-07,3.839e-08,88,34
1.4881e-07,3.691e-08,85,29
1.2021e-07,4.258e-08,90,34
1.5315e-07,3.727e-08,90,24
1.2521e-07,3.865e-08,88,31
1.1522e-07,3.918e-08,89,29
1.4777e-07,3.759e-08,90,28
1.2204e-07,3.736e-08,86,30
1.5127e-07,3.231e-08,91,25
1.4065e-07,4.372e-08,89,32
1.4296e-07,4.216e-08,87,28
1.8869e-07,4.826e-08,91,33
1.4937e-07,3.606e-08,94,24
1.5663e-07,4.872e-08,91,43
1.6327e-07,4.962e-08,90,40
1.7122e-07,3.863e-08,90,29
1.6709e-07,4.016e-08,89,31
2.1299e-07,4.177e-08,96,33
1.6067e-07,4.75e-08,91,37
2.1405e-07,4.636e-08,91,32
1.8615e-07,4.966e-08,86,44
2.0044e-07,4.062e-08,89,31
2.4705e-07,4.345e-08,94,27
2.2111e-07,3.77e-08,94,28
2.2625e-07,5.076e-08,90,36
