Insert Times,Search Times,Insert Collisions, Search Collisions
9.54e-08,2.059e-08,18,1
8.105e-08,1.6417e-07,30,4
1.162e-07,2.229e-08,36,3
8.03e-08,2.415e-08,21,3
9.171e-08,3.322e-08,27,9
1.0666e-07,3.617e-08,26,9
8.282e-08,2.204e-08,27,1
9.924e-08,2.65e-08,31,4
8.107e-08,2.288e-08,28,2
8.386e-08,2.337e-08,19,2
9.191e-08,2.921e-08,18,6
8.616e-08,2.344e-08,28,3
8.166e-08,2.571e-08,23,3
1.0652e-07,1.875e-08,31,0
8.756e-08,2.309e-08,23,4
9.831e-08,4.279e-08,30,10
9.746e-08,1.879e-08,32,0
8.024e-08,2.157e-08,21,2
9.699e-08,2.735e-08,26,4
8.462e-08,2.175e-08,20,2
9.02e-08,2.674e-08,21,3
8.976e-08,2.768e-08,23,4
8.636e-08,3.62e-08,33,7
9.356e-08,2.551e-08,22,3
7.62e-08,2.655e-08,18,3
9.894e-08,2.263e-08,35,2
8.545e-08,2.752e-08,32,5
7.993e-08,2.663e-08,23,4
1.0084e-07,2.084e-08,31,1
8.06e-08,2.633e-08,21,4
9.802e-08,3.662e-08,30,8
9.252e-08,3.589e-08,29,4
9.01e-08,2.14e-08,31,2
1.0878e-07,2.198e-08,34,3
8.324e-08,2.242e-08,21,3
8.993e-08,2.651e-08,26,4
9.418e-08,3.603e-08,23,6
8.359e-08,3.061e-08,26,3
1.0054e-07,3.196e-08,23,4
8.36e-08,2.937e-08,26,4
8.618e-08,2.379e-08,25,3
9.857e-08,2.441e-08,27,4
9.559e-08,2.441e-08,36,4
9.563e-08,2.731e-08,26,4
7.996e-08,2.388e-08,20,4
8.057e-08,2.652e-08,22,3
9.563e-08,2.655e-08,24,3
9.77e-08,2.399e-08,28,3
9.842e-08,2.469e-08,27,3
9.121e-08,2.521e-08,28,3
8.854e-08,2.617e-08,27,2
1.1505e-07,2.648e-08,26,3
8.627e-08,2.061e-08,31,1
9.016e-08,2.938e-08,20,5
9.136e-08,2.601e-08,31,4
8.398e-08,4.217e-08,27,6
1.0158e-07,2.317e-08,27,3
8.32e-08,2.526e-08,25,4
8.577e-08,2.238e-08,27,3
9.254e-08,2.129e-08,24,2
8.893e-08,2.761e-08,27,4
1.0086e-07,2.456e-08,25,4
7.785e-08,2.206e-08,23,2
8.393e-08,2.361e-08,21,3
9.348e-08,2.134e-08,18,2
8.717e-08,3.17e-08,19,7
1.3108e-07,2.309e-08,26,3
8.797e-08,2.572e-08,35,2
8.429e-08,2.383e-08,29,3
9.578e-08,3.105e-08,17,3
8.078e-08,2.966e-08,29,4
1.0299e-07,3.129e-08,25,3
8.336e-08,2.551e-08,24,2
9.223e-08,2.356e-08,29,3
1.0232e-07,2.277e-08,32,2
8.693e-08,2.489e-08,22,4
7.907e-08,2.003e-08,18,1
9.516e-08,2.905e-08,20,6
8.558e-08,3.068e-08,27,7
2.2784e-07,2.578e-08,25,3
8.268e-08,3.061e-08,30,4
9.003e-08,2.761e-08,30,4
8.294e-08,3.662e-08,20,6
8.219e-08,2.743e-08,33,5
1.0135e-07,2.269e-08,28,2
9.583e-08,2.172e-08,33,2
8.116e-08,2.296e-08,20,2
9.787e-08,2.809e-08,27,3
7.772e-08,2.004e-08,29,1
8.878e-08,2.104e-08,24,1
7.958e-08,2.182e-08,29,2
8.946e-08,2.924e-08,37,5
1.0562e-07,2.758e-08,36,5
8.303e-08,4.621e-08,30,9
9.5e-08,2.542e-08,33,3
8.409e-08,2.573e-08,31,3
8.047e-08,2.196e-08,24,1
1.0002e-07,2.686e-08,27,3
9.344e-08,2.548e-08,33,2
8.718e-08,2.127e-08,31,1
1.0161e-07,2.298e-08,31,2
9.095e-08,2.213e-08,42,2
1.0832e-07,2.79e-08,29,6
