Insert Times,Search Times
1.57403e-05,9.21093e-06
1.56583e-05,8.36656e-06
1.80458e-05,7.71482e-06
1.61073e-05,8.02363e-06
1.64049e-05,7.8585e-06
1.66715e-05,1.12943e-05
1.76742e-05,9.51489e-06
1.71605e-05,8.52056e-06
1.76514e-05,1.20161e-05
1.87154e-05,1.00149e-05
1.82325e-05,1.03321e-05
2.39448e-05,1.16678e-05
2.41987e-05,9.88457e-06
1.92784e-05,1.56211e-05
2.65081e-05,1.18378e-05
2.38466e-05,1.2572e-05
1.96373e-05,9.77563e-06
2.18448e-05,1.46619e-05
2.08747e-05,1.11878e-05
2.09041e-05,1.11155e-05
2.25145e-05,1.09681e-05
2.09299e-05,1.12074e-05
2.62789e-05,1.6989e-05
2.98182e-05,1.52463e-05
3.31262e-05,1.44313e-05
3.08561e-05,1.53535e-05
3.43849e-05,1.109e-05
2.28851e-05,1.24401e-05
2.80062e-05,1.3484e-05
2.37935e-05,1.1275e-05
3.08217e-05,1.56349e-05
2.69575e-05,1.1765e-05
2.55879e-05,1.14039e-05
2.49375e-05,1.2943e-05
2.57756e-05,1.20219e-05
2.63258e-05,1.42473e-05
2.72388e-05,1.30459e-05
2.64331e-05,1.16931e-05
2.65996e-05,1.37105e-05
2.71996e-05,1.26586e-05
3.02575e-05,1.21884e-05
2.70617e-05,1.44458e-05
2.74716e-05,1.39695e-05
2.78461e-05,1.25437e-05
2.79725e-05,1.40384e-05
2.81932e-05,1.52759e-05
2.83721e-05,1.35464e-05
2.86239e-05,1.44947e-05
2.89357e-05,1.52103e-05
2.94548e-05,1.38202e-05
2.94458e-05,1.54041e-05
2.99501e-05,1.36499e-05
2.98714e-05,1.52458e-05
3.01501e-05,1.41632e-05
3.10009e-05,1.44541e-05
3.24421e-05,1.56913e-05
3.10124e-05,1.56658e-05
3.11534e-05,1.59666e-05
3.19984e-05,1.68562e-05
3.22194e-05,1.58218e-05
3.22682e-05,1.69769e-05
3.25008e-05,1.28276e-05
3.27936e-05,1.60089e-05
3.30214e-05,1.57095e-05
3.33601e-05,1.76313e-05
3.35789e-05,1.60742e-05
3.38651e-05,1.45372e-05
3.40896e-05,1.73906e-05
3.44145e-05,1.59522e-05
3.46267e-05,1.77491e-05
3.49396e-05,1.73285e-05
3.5151e-05,1.85223e-05
3.53889e-05,1.42274e-05
3.5667e-05,1.80475e-05
3.59617e-05,1.7291e-05
3.62006e-05,1.75071e-05
3.649e-05,1.79283e-05
3.67489e-05,1.81952e-05
3.73133e-05,1.74366e-05
3.70355e-05,1.84603e-05
3.73244e-05,1.92765e-05
3.77329e-05,2.07658e-05
3.82282e-05,1.73057e-05
3.84904e-05,2.01508e-05
3.87406e-05,1.95512e-05
4.73965e-05,2.72869e-05
4.82385e-05,1.90383e-05
3.97253e-05,1.85033e-05
3.94534e-05,2.00311e-05
3.98271e-05,2.06052e-05
4.01798e-05,1.9192e-05
4.07199e-05,2.05179e-05
4.06048e-05,1.94595e-05
4.08532e-05,1.98556e-05
4.12546e-05,1.7906e-05
4.13948e-05,2.01074e-05
4.16292e-05,2.16826e-05
4.19066e-05,2.12299e-05
4.21714e-05,2.34187e-05
4.24253e-05,1.98616e-05
4.32048e-05,2.2397e-05
4.31029e-05,1.99287e-05
4.32497e-05,2.27925e-05
4.34528e-05,2.19811e-05
4.39447e-05,2.01418e-05
4.40074e-05,2.08377e-05
4.45102e-05,2.01096e-05
4.4509e-05,2.1131e-05
4.40558e-05,2.34538e-05
4.61633e-05,2.89498e-05
4.86174e-05,2.07733e-05
5.01865e-05,2.07027e-05
4.66126e-05,1.96809e-05
4.80519e-05,2.40562e-05
4.74075e-05,2.2509e-05
4.54831e-05,2.23864e-05
