Insert Times,Search Times
9.15382e-05,5.71116e-05
9.19082e-05,5.63949e-05
9.63286e-05,4.37503e-05
9.10608e-05,4.4912e-05
9.81132e-05,5.11041e-05
0.000104096,4.81838e-05
9.02315e-05,4.64734e-05
8.59136e-05,5.10098e-05
8.65442e-05,4.87516e-05
9.61602e-05,4.47723e-05
9.23505e-05,4.48002e-05
8.85488e-05,4.13062e-05
8.77866e-05,5.01425e-05
0.000117322,4.56911e-05
8.5241e-05,4.37638e-05
8.72493e-05,4.40289e-05
8.9969e-05,4.51633e-05
9.16978e-05,4.20206e-05
8.80853e-05,4.96428e-05
8.47608e-05,5.48336e-05
9.2348e-05,4.47263e-05
9.22025e-05,4.66586e-05
9.73696e-05,5.38597e-05
0.000102579,4.52467e-05
9.21172e-05,4.34284e-05
8.62025e-05,4.11277e-05
8.64006e-05,4.32701e-05
8.66921e-05,4.84928e-05
8.69659e-05,4.48972e-05
8.72425e-05,4.80118e-05
8.75509e-05,4.55267e-05
8.77697e-05,4.61253e-05
8.80063e-05,4.33778e-05
8.82951e-05,4.30625e-05
8.86579e-05,4.18769e-05
8.88135e-05,4.63709e-05
8.90907e-05,4.75152e-05
8.93284e-05,4.25115e-05
8.96024e-05,4.61367e-05
8.98978e-05,4.16153e-05
9.01059e-05,4.67757e-05
9.03714e-05,5.39227e-05
9.06383e-05,4.91669e-05
9.49442e-05,4.83051e-05
9.59474e-05,5.28402e-05
9.15012e-05,4.78719e-05
9.16816e-05,4.64309e-05
9.17176e-05,4.91374e-05
9.18706e-05,4.73392e-05
9.21229e-05,4.67886e-05
9.24045e-05,4.55667e-05
9.26429e-05,4.8611e-05
9.29034e-05,4.82142e-05
9.30535e-05,4.96483e-05
9.11153e-05,4.62729e-05
9.17334e-05,4.82348e-05
9.24214e-05,4.8553e-05
9.22891e-05,4.90637e-05
9.46502e-05,4.98871e-05
9.31305e-05,5.00978e-05
9.33654e-05,4.87512e-05
9.3069e-05,4.42442e-05
9.35903e-05,5.1302e-05
9.38121e-05,4.89307e-05
9.40572e-05,4.33891e-05
9.4338e-05,4.51153e-05
9.61258e-05,5.52537e-05
9.55443e-05,4.84964e-05
9.47042e-05,5.19589e-05
9.53197e-05,4.36335e-05
9.52229e-05,4.91485e-05
9.54577e-05,4.66023e-05
9.60911e-05,4.77715e-05
0.000104023,4.9163e-05
0.000101367,5.72692e-05
0.000103834,4.99332e-05
0.000100032,6.27534e-05
9.84457e-05,7.08675e-05
0.000100522,6.57513e-05
0.000105113,5.13078e-05
0.000110478,6.12642e-05
0.000100888,4.83792e-05
0.000101114,4.88279e-05
0.000101403,5.40823e-05
0.000101645,4.91602e-05
0.000101931,5.38536e-05
0.000102151,5.53679e-05
0.000102674,5.49325e-05
0.000102714,5.71369e-05
0.000102965,5.80826e-05
0.000103374,5.5185e-05
0.000102737,5.43022e-05
0.000102919,5.48532e-05
0.000103413,5.16718e-05
0.000101625,5.7293e-05
0.000101135,5.10139e-05
0.000101373,5.59459e-05
0.000101652,5.29482e-05
0.000101919,5.6298e-05
